estimate_sex_and_age_total_population,estimate_sex_and_age_total_population_male,estimate_sex_and_age_total_population_female,estimate_sex_and_age_under_5_years,estimate_sex_and_age_5_to_9_years,estimate_sex_and_age_10_to_14_years,estimate_sex_and_age_15_to_19_years,estimate_sex_and_age_20_to_24_years,estimate_sex_and_age_25_to_34_years,estimate_sex_and_age_35_to_44_years,estimate_sex_and_age_45_to_54_years,estimate_sex_and_age_55_to_59_years,estimate_sex_and_age_60_to_64_years,estimate_sex_and_age_65_to_74_years,estimate_sex_and_age_75_to_84_years,estimate_sex_and_age_85_years_and_over,estimate_sex_and_age_median_age_(years),estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_21_years_and_over,estimate_sex_and_age_62_years_and_over,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_18_years_and_over_male,estimate_sex_and_age_18_years_and_over_female,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_65_years_and_over_male,estimate_sex_and_age_65_years_and_over_female,estimate_race_total_population,estimate_race_total_population_one_race,estimate_race_total_population_two_or_more_races,estimate_race_one_race,estimate_race_one_race_white,estimate_race_one_race_black_or_african_american,estimate_race_one_race_american_indian_and_alaska_native,estimate_race_one_race_american_indian_and_alaska_native_cherokee_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_chippewa_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_navajo_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_sioux_tribal_grouping,estimate_race_one_race_asian,estimate_race_one_race_asian_asian_indian,estimate_race_one_race_asian_chinese,estimate_race_one_race_asian_filipino,estimate_race_one_race_asian_japanese,estimate_race_one_race_asian_korean,estimate_race_one_race_asian_vietnamese,estimate_race_one_race_asian_other_asian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_native_hawaiian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_guamanian_or_chamorro,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_samoan,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_other_pacific_islander,estimate_race_one_race_some_other_race,estimate_race_two_or_more_races,estimate_race_two_or_more_races_white_and_black_or_african_american,estimate_race_two_or_more_races_white_and_american_indian_and_alaska_native,estimate_race_two_or_more_races_white_and_asian,estimate_race_two_or_more_races_black_or_african_american_and_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_white,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_black_or_african_american,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_asian,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_native_hawaiian_and_other_pacific_islander,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_some_other_race,estimate_hispanic_or_latino_and_race_total_population,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race),estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_mexican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_puerto_rican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_cuban,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_other_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_white_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_black_or_african_american_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_american_indian_and_alaska_native_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_asian_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_native_hawaiian_and_other_pacific_islander_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_some_other_race_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_including_some_other_race,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races,estimate_total_housing_units,estimate_citizen_voting_age_population_citizen_18_and_over_population,estimate_citizen_voting_age_population_citizen_18_and_over_population_male,estimate_citizen_voting_age_population_citizen_18_and_over_population_female,geography,geographic_area_name,Year,fips
4863300,2356052,2507248,286643,312788,301747,335687,325722,629565,598269,645623,340893,302411,465669,231894,86389,39.0,3763783,3553484,964274,783952,3763783,1790813,1972970,783952,338770,445182,4863300,4779442,83858,4779442,3316384,1301102,24509,9118,0,483,770,65611,11975,15231,8698,1981,10398,6347,10981,1503,270,683,37,513,70333,83858,25285,25292,13397,3176,4863300,3389735,1338854,56661,85704,3769,77234,4863300,199686,126577,19930,4880,48299,4663614,3197147,1294572,21225,65100,1341,7537,76692,1956,74736,2230180,3670229,1742667,1927562,0400000US01,Alabama,2016,01
741894,390573,351321,52495,53661,51068,48829,56890,121629,92373,93124,54081,41912,52097,16963,6772,33.5,554598,526655,99799,75832,554598,291298,263300,75832,37737,38095,741894,677933,63961,677933,477895,23753,108056,1100,766,225,203,45580,906,1777,29275,1772,3796,818,7236,9937,1275,859,6648,1155,12712,63961,8231,31962,10332,1238,741894,536380,37479,145982,61637,15903,15826,741894,51304,26090,7729,821,16664,690590,452757,21768,104362,44235,9766,1741,55961,1176,54785,310672,531845,280943,250902,0400000US02,Alaska,2016,02
6931071,3444228,3486843,436322,459892,455551,475013,477884,929487,849315,846513,414697,416571,684376,357328,128122,37.5,5299649,5003462,1411716,1169826,5299649,2611425,2688224,1169826,539236,630590,6931071,6681391,249680,6681391,5254944,299674,306247,3228,1106,149725,1760,220438,49855,44171,43282,9714,14285,29629,29502,14140,4885,2317,995,5943,585948,249680,53387,54280,44299,9784,6931071,5465822,384932,392975,289425,31883,643100,6931071,2144775,1917690,44250,14529,168306,4786296,3834724,284478,274472,214132,12834,10072,155584,5187,150397,2961136,4801062,2357954,2443108,0400000US04,Arizona,2016,04
2988248,1468782,1519466,188716,201291,197333,215051,195409,382578,364966,379035,195113,183126,284288,145440,55902,38.0,2280888,2142654,594353,485630,2280888,1104604,1176284,485630,215607,270023,2988248,2910827,77421,2910827,2290066,464516,18859,N,N,N,N,41781,10612,7264,5624,868,2596,3965,10852,8808,N,N,N,N,86797,77421,21869,27323,7712,3330,2988248,2358554,496098,53548,53699,11608,97373,2988248,214544,158417,6609,2579,46939,2773704,2175226,462232,16096,41387,8808,2917,67038,1938,65100,1354801,2193217,1061614,1131603,0400000US05,Arkansas,2016,05
39250017,19491231,19758786,2482422,2524786,2546294,2585154,2807120,5902164,5168066,5198221,2481314,2206037,3092039,1538860,717540,36.4,30156768,28534107,6597908,5348439,30156768,14848286,15308482,5348439,2371854,2976585,39250017,37370367,1879650,37370367,23420234,2265280,290133,16709,1883,7380,5094,5602074,755221,1543402,1252552,269132,461974,668956,650837,150521,22664,23649,40909,63299,5642125,1879650,275745,300066,550074,39092,39250017,24980439,2758577,746753,6432756,319337,6074661,39250017,15280776,12718251,214255,91438,2256832,23969241,14725729,2160958,132153,5518226,137019,105389,1189767,53908,1135859,14061375,25197798,12339669,12858129,0400000US06,California,2016,06
5540545,2790701,2749844,335071,361119,353781,354657,390411,837560,745669,719910,371856,327455,460219,202606,80231,36.7,4280033,4055804,930733,743056,4280033,2140793,2139240,743056,339794,403262,5540545,5356184,184361,5356184,4654921,234142,54743,3596,1070,8513,3234,175951,31646,36043,16838,12540,22379,21918,34587,8325,2278,984,1274,3789,228102,184361,41382,43091,40187,3896,5540545,4821075,296883,113874,229940,17506,263483,5540545,1181218,850495,33961,14238,282524,4359327,3796733,220728,28993,173588,7397,6313,125575,3062,122513,2339140,3979278,1987199,1992079,0400000US08,Colorado,2016,08
3576452,1745153,1831299,185029,200888,224010,249315,249473,436596,424492,524729,265460,239820,323635,164310,88695,40.9,2824290,2666866,708389,576640,2824290,1360390,1463900,576640,248844,327796,3576452,3464928,111524,3464928,2741892,378932,9887,N,N,N,N,161950,68060,34725,12351,4864,10805,7794,23351,1259,174,413,197,475,171008,111524,33845,12147,18939,6388,3576452,2830366,441437,38558,190086,4062,196716,3576452,562347,61855,298245,10892,191355,3014105,2411769,352345,4968,159838,505,11451,73229,4472,68757,1499145,2602785,1248029,1354756,0400000US09,Connecticut,2016,09
952065,460232,491833,55241,54716,59275,60834,59452,128569,110018,125863,69814,61609,100290,48194,18190,40.6,747828,710465,204586,166674,747828,356682,391146,166674,73929,92745,952065,926351,25714,926351,659091,209911,4055,N,N,N,N,35646,12483,12043,3162,645,2423,579,4311,2053,N,N,N,N,15595,25714,10185,2354,5194,2782,952065,679963,225488,10179,43419,2820,17792,952065,87152,33194,28560,1933,23465,864913,597331,203278,3281,35591,990,1419,23023,718,22305,426154,705209,334269,370940,0400000US10,Delaware,2016,10
681170,323591,357579,43546,34709,26875,37591,58291,154662,98911,77605,35336,34547,46167,22588,10342,33.9,560388,527007,99961,79097,560388,262728,297660,79097,32467,46630,681170,663435,17735,663435,277268,320554,2004,N,N,N,N,26436,6693,6061,3669,1751,2787,1396,4079,41,N,N,N,N,37132,17735,4387,852,5725,1277,681170,290787,329599,5809,34489,289,40087,681170,74422,14887,4658,2598,52279,606748,247185,315848,1529,25952,41,1929,14264,802,13462,313703,513470,239366,274104,0400000US11,District of Columbia,2016,11
20612439,10070860,10541579,1117467,1133256,1166476,1224713,1266856,2660916,2467080,2755495,1419462,1309954,2278240,1269026,543498,42.1,16467299,15708372,4864413,4090764,16467299,7951948,8515351,4090764,1839806,2250958,20612439,20079688,532751,20079688,15574165,3310428,52738,8932,776,479,673,559393,166526,96568,106148,12036,30476,73889,73750,12540,2930,3739,1991,3880,570424,532751,187496,79875,87878,9467,20612439,16027408,3583291,167446,708195,42968,664982,20612439,5126578,729046,1067747,1492334,1837451,15485861,11271384,3162469,38654,550606,10290,70928,381530,25681,355849,9302140,14732562,7069349,7663213,0400000US12,Florida,2016,12
10310371,5018150,5292221,654878,699964,723468,735575,711091,1403742,1385447,1403862,657357,575853,848651,378572,131911,36.5,7799761,7349689,1686528,1359134,7799761,3735972,4063789,1359134,589480,769654,10310371,10051915,258456,10051915,6054861,3254495,37939,7348,196,457,459,398897,133115,60982,23870,9489,53834,51896,65711,6503,1063,1789,1839,1812,299220,258456,88566,31169,45003,14686,10310371,6263135,3401427,103846,471515,17918,341350,10310371,962334,552504,100398,29783,279649,9348037,5484889,3205543,17417,396429,5134,32116,206509,11456,195053,4219103,7241281,3444627,3796654,0400000US13,Georgia,2016,13
1428557,718057,710500,90722,86303,83499,78057,99039,205844,179339,177648,91868,92697,138903,66208,38430,38.9,1120792,1070271,299694,243541,1120792,559533,561259,243541,110038,133503,1428557,1086878,341679,1086878,357994,25898,2649,659,0,187,16,543448,3391,53099,217937,177487,24630,11001,55903,144568,86503,2294,13174,42597,12321,341679,6995,9798,75351,1324,1428557,613488,49512,33315,810627,371680,30329,1428557,148150,42237,51384,2622,51907,1280407,315242,24389,1718,527847,131672,1852,277687,2426,275261,537170,1018631,518894,499737,0400000US15,Hawaii,2016,15
1683140,841203,841937,114143,126367,121833,121495,112037,220555,205831,198153,105199,101365,155183,72091,28888,36.1,1246683,1174020,317211,256162,1246683,616842,629841,256162,120817,135345,1683140,1641070,42070,1641070,1510119,11437,26596,1355,529,611,1230,24406,4441,6370,4175,3520,1349,1057,3494,2375,435,340,468,1132,66137,42070,5295,13995,9756,317,1683140,1548224,18885,42982,38289,5946,73268,1683140,207248,182745,2282,532,21689,1475892,1385885,10184,21522,22993,1910,702,32696,1554,31142,700829,1191262,589252,602010,0400000US16,Idaho,2016,16
12801539,6289724,6511815,769490,807357,830625,854774,874074,1765751,1654483,1716447,860048,795660,1073859,541813,257158,37.9,9878820,9365265,2327183,1872830,9878820,4796996,5081824,1872830,811520,1061310,12801539,12480128,321411,12480128,9123763,1813477,30470,3633,1849,402,1173,684783,239310,131627,117460,20917,56237,27735,91497,4851,1529,1160,1265,897,822784,321411,93595,40797,75143,8818,12801539,9402346,1950134,98929,786820,15061,895742,12801539,2178790,1723723,209638,27232,218197,10622749,7886677,1790654,15415,679106,3126,18718,229053,11116,217937,5327165,9038458,4355252,4683206,0400000US17,Illinois,2016,17
6633053,3267337,3365716,420367,444103,437512,464192,474303,857485,813214,864269,449806,414463,579237,290399,123703,37.6,5055520,4766764,1239488,993339,5055520,2458014,2597506,993339,434753,558586,6633053,6474410,158643,6474410,5536418,617745,17515,4632,1030,0,232,141451,37833,35646,12062,4893,12858,7727,30432,3526,1221,626,735,944,157755,158643,74924,24980,25729,2398,6633053,5685793,704428,50494,172555,8155,177946,6633053,448079,333850,35460,6227,72542,6184974,5273458,608667,13870,140694,2786,10478,135021,3555,131466,2854595,4867305,2357022,2510283,0400000US18,Indiana,2016,18
3134693,1556668,1578025,197487,203791,203968,219509,222918,395052,369788,391352,212454,204632,281065,153991,78686,38.0,2407726,2261895,636828,513742,2407726,1183019,1224707,513742,227947,285795,3134693,3077400,57293,3077400,2834162,111867,10488,717,624,81,1083,74805,16588,17039,4195,1136,6110,7274,22463,3949,1318,146,29,2456,42129,57293,25713,11606,10381,1071,3134693,2887953,142363,25409,87194,5904,46455,3134693,179062,135179,7970,1585,34328,2955631,2708501,108502,8662,74554,3700,2784,48928,684,48244,1380087,2320932,1136082,1184850,0400000US19,Iowa,2016,19
2907289,1448853,1458436,197406,202670,196909,205526,212842,377168,353348,350511,195172,178066,247334,127211,63126,36.5,2192370,2057995,544770,437671,2192370,1081183,1111187,437671,195723,241948,2907289,2803923,103366,2803923,2458966,166551,21620,5043,289,659,460,79741,18060,12128,4029,1989,6291,16032,21212,2922,344,756,571,1251,74123,103366,32561,29372,16110,4019,2907289,2554809,211231,62907,100795,6667,83646,2907289,336909,271754,10836,4916,49403,2570380,2216482,161027,18397,79100,2922,3221,89231,728,88503,1259870,2077911,1021886,1056025,0400000US20,Kansas,2016,20
4436974,2179814,2257160,272949,278563,284772,306625,298556,564723,556258,597239,305536,284228,411310,200382,75833,38.7,3424517,3233131,856122,687525,3424517,1661682,1762835,687525,303409,384116,4436974,4344839,92135,4344839,3866333,366157,11140,4838,1225,209,566,61311,15891,7461,3614,5486,6245,6653,15961,2307,492,195,615,1005,37591,92135,45831,16024,12575,2535,4436974,3951092,420332,32270,77104,3886,48015,4436974,151920,86110,16967,14333,34510,4285054,3765752,360428,10692,60837,1934,7172,78239,1332,76907,1965577,3342304,1616156,1726148,0400000US21,Kentucky,2016,21
